Iteration,Chemo_Cost,Chemo_Eff,Radio_Cost,Radio_Eff,Surg_Cost,Surg_Eff,pFailChemo,pFailRadio,pFailSurg,pDieSurg,muDieCancer,cChemo,cRadio,cSurg
21,30594.64557,7.562105461,10939.04611,7.785876644,22230.17864,9.465731641,0.544586874,0.507892558,0.02767688,0.051092178,0.409074736,20151.88445,7504.209337,22230.17864
22,28780.50636,10.11858419,11293.8508,9.336581607,22565.02968,9.829436464,0.440662926,0.54477776,0.116381503,0.083210345,0.259664003,19533.59827,6952.547935,22565.02968
23,38983.42024,12.66606931,17736.47444,12.54631683,25706.1283,12.17660849,0.461934018,0.465270057,0.062615547,0.078248741,0.101793565,23728.09308,10917.97949,25706.1283
24,27777.32944,8.199159683,16155.01613,7.298056438,28521.05756,8.864650561,0.488482819,0.598512988,0.044750812,0.117124206,0.387391442,19065.01585,10131.11805,28521.05756
25,29082.99266,11.68907687,11396.49968,11.8370449,29470.79521,11.52085134,0.454595176,0.409879559,0.032141912,0.096181552,0.155507396,18433.84049,7684.242491,29470.79521
26,33390.27795,10.2472231,16363.57864,9.410388167,20777.77996,9.623629365,0.480776176,0.580097618,0.063030206,0.162922746,0.234565321,21431.63259,9561.941935,20777.77996
27,26996.99163,10.35271268,12219.68048,10.0716853,57927.223,10.7171938,0.499163386,0.525470334,0.046451989,0.093107113,0.220237138,16835.6594,7508.348955,57927.223
28,31445.87617,10.56824998,16526.6774,10.20512433,27548.05946,10.35836465,0.480151384,0.520438117,0.063927342,0.116840475,0.214071459,19974.15457,10174.55466,27548.05946
29,27780.82198,10.55296656,27032.1962,9.262196193,33035.75369,9.559447196,0.37786833,0.566333811,0.070952495,0.14787322,0.252543255,20048.68425,16205.3754,33035.75369
30,31371.94689,11.82968257,16509.26185,11.64823313,18034.72021,11.17424713,0.481108984,0.493217311,0.064434379,0.116986631,0.140257677,19069.49829,10048.35599,18034.72021
31,26776.57399,11.4945422,17182.69655,11.1576355,20830.00743,11.29937375,0.414056808,0.46370224,0.071795525,0.06536271,0.178581379,18014.71626,11041.04612,20830.00743
32,35223.37703,11.21634823,16555.91605,10.95918751,19759.22983,11.40572814,0.483112066,0.507254149,0.035307507,0.086484701,0.173811846,21790.95836,10108.55221,19759.22983
33,35047.97348,10.74298306,16163.68886,9.929995566,17489.76176,11.15342465,0.491193182,0.58491414,0.020141031,0.094281588,0.199069713,21792.38567,9183.692786,17489.76176
34,29412.76771,12.26240396,15645.70829,11.60556347,48756.88295,11.42643878,0.410326428,0.516740598,0.014531139,0.132885396,0.134553468,19456.16408,9231.404362,48756.88295
35,28574.0411,8.703811724,8559.845068,8.36389128,14042.93877,9.226534682,0.403022275,0.454288899,0.038417637,0.083995042,0.389669095,21171.03307,6096.505762,14042.93877
36,29634.18348,11.64926037,13205.23671,11.39060694,81056.86533,11.63744645,0.450151245,0.48014986,0.063847838,0.062403732,0.159044158,18921.37595,8245.433451,81056.86533
37,34952.03057,12.51511799,20379.5978,12.59301809,33071.25341,12.04408327,0.489791055,0.450518124,0.088386497,0.071672138,0.103072985,20515.45834,12778.58209,33071.25341
38,32012.4784,11.51065633,15047.44607,11.22877156,14885.09074,10.88888634,0.480310224,0.508397958,0.030646906,0.144560935,0.157963877,19687.47164,9091.886286,14885.09074
39,29188.85244,10.06708375,14970.35805,9.525310858,12213.00107,10.91352422,0.538576483,0.590005689,0.044285278,0.076975701,0.221413517,17394.77728,8581.983017,12213.00107
40,33305.48646,11.30557157,12917.57592,11.11284386,24431.76459,10.21459554,0.384263481,0.413393646,0.052193402,0.149934022,0.199194147,23374.89575,8846.16571,24431.76459
41,28793.13268,12.48628509,11558.30866,11.77268008,20025.44556,12.08221657,0.391203415,0.515887513,0.038971074,0.075677981,0.126197282,19411.54061,6791.639127,20025.44556
42,35924.338,11.55838381,9847.77001,11.84270024,21273.48924,11.56186062,0.51331511,0.443793599,0.037374763,0.099086534,0.145163172,21018.99348,6361.499385,21273.48924
43,24655.46697,10.60184424,16283.77382,10.26768013,14893.4882,10.44427033,0.467188678,0.50577127,0.017029525,0.138983102,0.216834236,15917.59937,10199.77225,14893.4882
44,26059.95157,11.79910869,12505.12094,11.25309011,19940.69632,11.0498701,0.461069313,0.532497241,0.053106607,0.127200047,0.147522202,16313.57199,7300.774,19940.69632
45,29213.7388,10.63533298,11059.73453,9.639914853,67764.94342,10.54908218,0.40192537,0.545832271,0.041259768,0.094868183,0.2382827,20453.12934,6718.559816,67764.94342
46,29155.40205,9.700885532,17457.6818,9.63359685,59808.14576,10.43674391,0.4964384,0.495413408,0.022801247,0.09417002,0.264843303,18695.5899,11331.96272,59808.14576
47,32925.29933,10.75587719,16326.8521,10.62381818,34050.85598,11.27830113,0.502953374,0.507083195,0.012857006,0.093719701,0.19390529,20126.37854,10084.39194,34050.85598
48,29979.43399,10.83663801,14054.30108,10.00509671,8705.704276,10.6486652,0.403927989,0.52681232,0.055768813,0.088934058,0.223899777,20817.35216,8641.042251,8705.704276
49,33562.14375,8.598387542,9494.998282,8.502881262,9833.180726,9.446745071,0.491199866,0.497753765,0.018905343,0.1108352,0.351505678,22602.04247,6407.200593,9833.180726
50,30726.99726,12.87953885,16041.13172,12.65933665,26060.14548,11.00048129,0.461384926,0.485054208,0.070940849,0.172715454,0.091432508,18597.7531,9580.996631,26060.14548
51,31532.24574,7.914598227,15959.2688,7.931550539,14931.85459,9.316651417,0.501900926,0.493749173,0.02370438,0.07295094,0.404851784,21548.81691,11060.18926,14931.85459
52,31649.30347,10.95298619,16674.61171,10.69984013,28224.62285,10.5732026,0.458600837,0.486471895,0.056690851,0.118258919,0.197822998,20427.87963,10556.21699,28224.62285
53,37853.27286,11.18685048,22101.5187,10.90092807,43052.55383,10.2920269,0.53797705,0.556874922,0.143834235,0.121267775,0.156759823,21621.38305,12613.61144,43052.55383
54,33552.37467,9.714262638,21444.39791,8.653597433,35628.76956,9.71239259,0.454055512,0.587327195,0.059507565,0.115834846,0.28307029,22703.5583,12810.667,35628.76956
55,37050.15431,12.83605275,14899.61064,13.1005113,27884.79523,11.98563644,0.508511,0.421213699,0.045353435,0.119754974,0.084007475,20918.85606,9581.46606,27884.79523
56,31229.73444,11.42019718,14856.75739,11.49266138,36845.16796,10.91708009,0.453997879,0.426121054,0.090621164,0.091011451,0.171182808,19979.41643,9911.616391,36845.16796
57,29713.59794,11.16822767,10267.13761,11.40060083,31530.45168,10.83008405,0.473144758,0.416571308,0.100624522,0.082736689,0.179917403,18670.02218,6948.343772,31530.45168
58,34115.87481,9.008948262,13199.71408,9.260475945,25823.70312,9.938264855,0.525632485,0.48044029,0.075001261,0.067719641,0.300217402,21618.05442,8843.020388,25823.70312
59,27106.57788,6.546812978,14922.48904,6.045881674,18152.60279,7.044600723,0.365090544,0.453723485,0.065171654,0.081023686,0.648927284,22185.35851,11582.70801,18152.60279
60,29381.49265,10.80518383,16987.87516,10.52684709,14634.19389,10.40959934,0.42293549,0.46060535,0.051419709,0.116332017,0.219518696,19949.9005,11176.54272,14634.19389
61,29290.96275,6.758704351,10718.07286,6.094630975,26068.71807,7.577765462,0.421454992,0.524833115,0.046487145,0.088075437,0.582026613,22734.48092,7771.87374,26068.71807
62,30380.38582,12.26706464,12966.4332,11.93480228,34479.94433,11.99035918,0.514462624,0.544028134,0.072475875,0.079071142,0.109075098,17316.70254,7281.693167,34479.94433
63,29196.10238,10.97099554,16650.03338,10.56612536,20705.22415,10.79827913,0.474901225,0.521718923,0.059899763,0.103422272,0.191095615,18422.16,10102.82639,20705.22415
64,36156.49239,11.69849645,16597.21319,11.33534763,33945.78193,11.66951202,0.478247529,0.518893511,0.046761272,0.081792708,0.148184617,22163.40607,9849.537724,33945.78193
65,32479.37552,12.36746908,25314.57485,11.61058671,15296.16881,11.5246276,0.451437045,0.559457272,0.05824669,0.113225744,0.119357372,20250.08278,14046.39495,15296.16881
66,32644.53578,11.0520713,14215.79995,10.44433016,17998.14544,10.96926609,0.46173287,0.539036914,0.085308483,0.071505177,0.190682668,20913.9489,8458.834348,17998.14544
67,30020.3571,11.75501358,19581.14169,11.29501601,24360.98589,11.39212605,0.450817557,0.512270308,0.018394833,0.117313535,0.152839562,19087.63568,11742.96022,24360.98589
68,34245.40157,11.27381378,8308.632956,11.08765016,30774.26379,11.26455124,0.51906454,0.52727581,0.036599078,0.110702466,0.15857906,20066.94265,4913.862129,30774.26379
69,29317.0993,8.952513317,15205.52688,9.158202662,19694.55279,9.535779619,0.48843012,0.449680809,0.042399302,0.108668523,0.324349265,19541.31484,10594.72909,19694.55279
70,38023.87479,11.98552916,15854.35591,11.77523855,22135.74177,11.92670492,0.485031196,0.501030024,0.030425918,0.088432419,0.130925557,22864.70228,9509.515344,22135.74177
71,30493.29883,9.703863973,19202.8789,10.10029882,20694.11218,10.18213064,0.495771345,0.422783128,0.03340418,0.108669251,0.264943092,19568.67947,13392.45492,20694.11218
72,34177.22955,12.34341856,10455.80152,12.56327133,7048.037516,11.0373275,0.509163703,0.441676167,0.087444249,0.146153266,0.106739071,19589.97546,6638.515822,7048.037516
73,34796.03897,12.37584128,15999.15842,10.94575195,11319.85215,11.89032666,0.449836629,0.63886835,0.032750105,0.100566766,0.119288506,21737.93947,8043.23492,11319.85215
74,31130.04699,11.33547552,9275.21786,10.81996385,44650.78914,11.24370335,0.394112913,0.47655287,0.030147109,0.084327365,0.194354452,21570.21465,5924.67337,44650.78914
75,28931.2894,12.6945197,19682.84261,12.35690807,11401.32721,11.85319372,0.463446835,0.507050762,0.0710725,0.099638961,0.100065893,17555.92352,11502.14729,11401.32721
76,27455.44725,11.0450438,18744.57088,10.50242245,23902.59442,10.35080797,0.441433226,0.515087094,0.07371331,0.125255341,0.197886751,18073.4104,11501.99085,23902.59442
77,29316.75497,8.435179131,11830.95507,8.332013374,14257.52696,9.077105998,0.493065353,0.500982011,0.034674658,0.123644221,0.364167353,19825.255,8005.726571,14257.52696
78,31957.15455,12.52273245,13720.42393,11.97168566,38833.9268,11.62299725,0.43036012,0.516820663,0.033111551,0.123658057,0.115885699,20424.57005,8001.494939,38833.9268
79,36305.64111,12.10451634,19118.8074,12.57835866,35759.58667,12.00897855,0.592782969,0.48530059,0.01785563,0.121999253,0.095220135,18323.53613,11441.61037,35759.58667
80,29324.87486,9.414568805,17330.75955,8.936178331,39774.53178,10.14127373,0.429556381,0.496152806,0.045944127,0.056139104,0.316943974,20635.19032,11527.70355,39774.53178
81,25166.7914,11.5685404,9360.92503,10.06106557,19836.10572,11.28116175,0.367239371,0.592969362,0.051383462,0.073197288,0.187077366,17903.2549,5228.085675,19836.10572
82,31156.49722,13.52238066,18284.79369,13.22246796,27266.18372,13.05772537,0.382660654,0.451054187,0.040477585,0.055800273,0.072464115,20688.13641,11266.26012,27266.18372
83,34833.55707,12.77921842,13862.9488,12.39785212,35431.2966,12.18427115,0.493596504,0.537988464,0.02889699,0.108355911,0.089702754,20159.03575,7742.107673,35431.2966
84,30299.50431,11.55274117,17693.08167,11.65731481,18925.37218,11.69100751,0.482655148,0.446582202,0.03722518,0.080049256,0.154906559,18545.82475,11449.43981,18925.37218
85,34873.28972,11.99128585,21473.81593,11.33098685,30358.64764,11.81822204,0.474346038,0.558632565,0.043118517,0.086442331,0.13348714,21293.21932,12042.40874,30358.64764
86,33635.67805,12.01630238,11722.18954,11.0832938,18991.34751,10.83743402,0.45129022,0.578450458,0.088915997,0.130428433,0.138189109,21200.73054,6439.110183,18991.34751
87,34737.54814,11.43917353,21679.0293,10.70301798,14829.68798,10.88196318,0.433238123,0.537098834,0.020584728,0.13565351,0.176314066,22834.51513,12815.67332,14829.68798
88,34067.39616,11.43274862,31545.73584,11.19998815,20189.23737,11.34639995,0.486188601,0.505946888,0.04476404,0.097166657,0.160502439,20830.76951,19142.32284,20189.23737
89,25860.29082,8.038904902,12324.47214,8.094643774,23886.19285,9.622540146,0.526605552,0.511967067,0.019799974,0.070058896,0.378027226,17055.05117,8310.40122,23886.19285
90,30639.58999,10.46681163,17550.51774,10.0677579,12609.45202,10.49673813,0.425478754,0.481184762,0.039923116,0.097577587,0.241347267,20954.68941,11424.15865,12609.45202
91,29145.91964,13.00532963,13074.23276,12.85830488,26625.2096,12.04687623,0.407573199,0.426622109,0.046943886,0.103630882,0.095064216,18962.34119,8400.338065,26625.2096
92,41643.7523,12.6722118,15638.33575,12.63281482,25728.34532,11.44526506,0.481496408,0.466035623,0.089070693,0.123405603,0.097327307,24625.22888,9593.315092,25728.34532
93,26966.95192,11.0335284,11693.18846,10.26388399,11415.35358,10.84514589,0.427193244,0.53551936,0.061152671,0.087382125,0.203300526,18086.78547,7037.736526,11415.35358
94,28260.11781,11.00813989,15896.47265,10.80533246,40802.13604,10.63704557,0.417947519,0.443943733,0.076210985,0.08992269,0.20795527,19191.1443,10584.53726,40802.13604
95,32602.2914,12.53710388,13348.73623,12.2097257,16779.55955,11.71281902,0.510801227,0.54130782,0.063854428,0.117229279,0.097184384,18521.27673,7461.664742,16779.55955
96,31810.50659,13.128801,15575.87777,12.78342297,33780.49685,12.66274514,0.441445153,0.496326987,0.072775355,0.056029384,0.083007415,19672.54222,9126.661573,33780.49685
97,35099.20102,11.59604974,15468.35182,11.53238715,11815.71106,10.83081617,0.454678835,0.450857902,0.024915745,0.150216007,0.16078491,22309.73018,9991.444154,11815.71106
98,29189.9099,10.02971189,16778.71837,9.039020282,28746.96946,10.33001961,0.425848919,0.559977088,0.047996804,0.078568527,0.272046286,20228.02393,10240.78445,28746.96946
99,32542.52888,12.60462263,23717.63131,12.22541005,49462.49966,11.71725534,0.450835118,0.50402382,0.052084484,0.113710978,0.107241485,20162.86439,13973.50543,49462.49966
100,27717.69368,10.61434099,15183.56579,10.15118881,28808.75358,10.35156197,0.460470501,0.518292234,0.052007283,0.121719661,0.218535718,18046.60969,9392.692655,28808.75358
101,29618.72879,10.15467113,20447.09512,10.05960785,8813.513869,10.18777626,0.484074489,0.486750125,0.042157138,0.124332145,0.23933705,18989.77567,13220.33729,8813.513869
102,31233.89535,11.67195823,15146.55128,10.8252929,26136.42558,11.1383227,0.407139544,0.536059735,0.062972468,0.093160925,0.169743029,21092.76617,8928.58294,26136.42558
103,30231.29662,13.2165088,11151.9707,12.59684224,19568.68739,12.18789058,0.412800236,0.528632742,0.023505371,0.116690623,0.083436188,19417.6492,6275.633648,19568.68739
104,26287.8244,11.43265256,12206.48618,11.26297816,27748.35982,10.99429306,0.451772402,0.46693394,0.070213072,0.098710722,0.17112918,16861.9225,7785.622178,27748.35982
105,37399.79527,12.4934674,17736.10162,12.37648962,25422.51148,12.14532025,0.436717298,0.443450439,0.030470137,0.085700207,0.116052545,23714.07007,11292.13618,25422.51148
106,29137.06477,11.9774475,14467.48504,11.59253987,57186.17669,11.88026064,0.439621547,0.493003404,0.056693641,0.063293257,0.143351729,18684.36978,8823.491223,57186.17669
107,29583.88559,10.85124444,11159.97279,10.19144229,57733.29662,10.84380902,0.381485185,0.486904116,0.022463988,0.090293346,0.230389685,21089.44358,7181.93656,57733.29662
108,33454.45791,11.34962231,20197.83954,11.6017604,18915.71878,11.30695324,0.556292474,0.495844012,0.04692433,0.115983645,0.141890299,18453.75047,12267.34358,18915.71878
109,30835.38891,7.923008451,14047.02188,8.326301173,15449.31538,9.493238058,0.525562337,0.461241836,0.048409096,0.050131938,0.388939795,20466.43673,9942.908252,15449.31538
110,31781.92715,12.03088199,18008.72595,11.86130319,36455.29356,10.89025835,0.405848099,0.427876857,0.077046711,0.123593647,0.148833947,21283.53991,11865.38049,36455.29356
111,28147.24798,9.700038392,7389.677403,9.591266317,21672.5549,10.09675247,0.441969949,0.451808085,0.046230453,0.085089454,0.289468573,19337.31962,5063.670713,21672.5549
112,27747.00994,8.366399112,14843.52562,7.899611069,28662.76785,9.227761742,0.448927974,0.512492243,0.05225214,0.067846743,0.395353925,19796.98297,10082.16995,28662.76785
113,28042.354,11.51771456,13120.71387,11.11311815,50618.23134,11.57018044,0.411802817,0.47310356,0.015740622,0.082883499,0.177812184,18908.03211,8340.697727,50618.23134
114,31160.28231,9.851931747,13718.23929,9.546204755,30499.48274,10.34520347,0.54651369,0.569920998,0.034972372,0.122764038,0.231378685,18514.21873,8088.526787,30499.48274
115,30590.45403,12.30982817,16610.33089,11.48606422,31641.51432,12.0807117,0.420500081,0.548102757,0.034471602,0.075391648,0.129579718,19936.03819,9409.544529,31641.51432
116,32082.3571,10.40596456,20445.28615,9.894614198,57229.2587,9.905253165,0.451436344,0.517741087,0.03235734,0.158249635,0.235647924,21280.93905,12774.69302,57229.2587
117,33049.37478,11.36714314,9955.811347,11.12661233,17338.29234,11.66938985,0.461901876,0.486966941,0.043932872,0.061256361,0.171850577,20952.4901,6212.096495,17338.29234
118,27056.7523,10.14047476,10513.44578,9.809573165,20229.6164,10.57751174,0.45050482,0.491900432,0.023075334,0.091314747,0.25413608,18127.12377,6812.177522,20229.6164
119,36534.47501,12.45442658,17427.20447,11.94293641,18176.51928,12.11033145,0.451128643,0.524491862,0.029919856,0.089743318,0.114895877,22728.67273,10062.55429,18176.51928
120,26376.21382,12.16507253,19080.15283,11.06426688,10620.33222,11.33237164,0.338158079,0.535330808,0.073832092,0.082528646,0.156676208,19143.79502,11166.21399,10620.33222
121,30277.44052,10.16009137,20609.14766,9.743088489,20151.45848,9.690887383,0.45061845,0.504171141,0.068396929,0.137802412,0.252728264,20268.76223,13178.23214,20151.45848
122,23269.4268,9.964632495,14226.41,8.695928862,13568.22705,9.831339712,0.384404169,0.56604166,0.04284208,0.107948247,0.293657834,16943.96905,8736.675903,13568.22705
123,27672.3235,11.11901835,16390.53367,10.32844621,11977.16572,10.95250537,0.408827687,0.525987974,0.032674703,0.097965556,0.203735449,18945.02264,9971.205593,11977.16572
124,29180.69302,10.61112602,13115.01771,10.88173737,36714.35687,11.45270428,0.56193418,0.505297822,0.052053363,0.06619576,0.179140625,16419.57564,8049.611983,36714.35687
125,28267.50765,11.9578856,18271.65995,11.90035991,20594.35438,11.3461492,0.3933858,0.394159042,0.029484088,0.110948391,0.156208918,19273.74103,12537.90146,20594.35438
126,31419.04659,8.953607723,16459.15407,7.900944574,31610.23912,8.833535188,0.359940837,0.522378514,0.090622837,0.083380162,0.388538925,24132.53304,11050.06112,31610.23912
127,34636.71078,10.98626635,22092.03801,11.24129227,29004.77015,10.55934098,0.437513447,0.377225845,0.050742357,0.118951858,0.202884451,22959.06001,15729.00183,29004.77015
128,35092.2415,11.72233899,20840.9964,11.33312743,26659.93971,11.38168101,0.436852931,0.490668417,0.039356694,0.099660584,0.158585073,22761.60682,12855.23731,26659.93971
129,33593.85789,8.762116835,11626.42217,8.885413993,27850.90124,10.06843753,0.538652,0.512392744,0.051040565,0.063810057,0.311648066,21132.71537,7595.81421,27850.90124
130,28556.25302,11.99899137,8642.579336,11.59332937,26646.66631,11.59258058,0.432792927,0.491257196,0.026954126,0.104410356,0.143898352,18470.37019,5283.328456,26646.66631
131,29547.3526,10.82558151,17879.34195,10.17940965,23225.79214,10.47286122,0.446936146,0.532779327,0.05766248,0.115238145,0.209867746,19446.48837,10834.864,23225.79214
132,27560.91838,9.325354639,21336.91309,8.765475771,33342.9072,9.377646206,0.438433521,0.514595127,0.034345433,0.13311095,0.319838988,19252.26814,13966.50422,33342.9072
133,30043.01454,11.74862656,13019.64053,11.0872196,33590.56747,10.34924354,0.458052455,0.545959312,0.059551864,0.175607665,0.151176192,18916.19741,7499.165014,33590.56747
134,28965.09359,8.243829518,11190.74286,7.347963458,37669.39097,8.694165098,0.370888014,0.51054908,0.022287592,0.097366008,0.450123893,22455.17895,7793.586649,37669.39097
135,35651.25317,12.65479308,16241.41966,12.32332643,16327.95771,12.23603377,0.437417926,0.48590933,0.027742345,0.088546742,0.107487637,22477.71517,9783.235294,16327.95771
136,24183.69564,10.22339189,21074.49354,9.506833043,20240.71426,9.862301812,0.341476479,0.46324257,0.044900519,0.106624609,0.290248137,18315.7351,14288.60987,20240.71426
137,33982.92855,10.75240144,13662.45616,10.21012686,15811.89412,10.60113483,0.464405614,0.532027728,0.068780616,0.097989385,0.208296767,21909.67631,8278.669221,15811.89412
138,31520.42693,9.353866649,12499.44948,9.401843614,27767.53942,9.784913407,0.481372248,0.465524976,0.048385702,0.105085426,0.297086326,20879.70688,8481.92911,27767.53942
139,28243.21734,11.29779861,21082.42708,11.61335527,31554.28093,11.09462974,0.524609756,0.452957819,0.059318127,0.112471694,0.155406873,16397.88928,13548.74575,31554.28093
140,35327.16996,12.39363895,23082.34146,11.6999517,15313.95777,12.03916553,0.471118729,0.564235751,0.03474121,0.093626933,0.11342298,21396.72305,12680.3647,15313.95777
141,32654.249,11.42574454,23214.46583,11.1289546,24767.35032,11.35000774,0.467165619,0.499942156,0.045255928,0.090717516,0.166820272,20513.32372,14234.93524,24767.35032
142,28228.903,10.40463794,11116.03558,10.45832843,16288.33515,10.29139572,0.474656477,0.454226754,0.061124692,0.113252735,0.226700082,18166.75677,7387.153375,16288.33515
143,24767.20813,10.71068252,10966.31446,9.982284956,14729.11932,10.80314062,0.516541521,0.593465077,0.020942744,0.128772225,0.191440016,14870.47697,6139.347259,14729.11932
144,26636.63496,11.15360973,21543.18429,10.09424889,13818.02292,11.00384862,0.376598469,0.540525028,0.067768583,0.061423114,0.211488011,18943.17757,12957.58602,13818.02292
145,31688.96828,12.89047238,16439.89703,12.50484477,35576.58392,12.01974037,0.463403884,0.517052411,0.028553483,0.119830692,0.090512213,19117.29435,9431.04907,35576.58392
146,31520.06081,9.290465639,16486.33578,8.656280631,10143.8747,9.728931189,0.39920701,0.493876397,0.031605677,0.084019111,0.34096032,23031.77323,11111.26935,10143.8747
147,26041.91392,11.3716699,18493.97689,10.99979759,9513.452267,10.68249939,0.346351909,0.415464307,0.038889124,0.114183494,0.205808,19076.23749,12673.82831,9513.452267
148,29285.01552,11.87611084,16197.98498,11.82816225,21999.25699,11.20311177,0.417709837,0.414062304,0.045339135,0.113367736,0.154816213,19394.94346,10868.0319,21999.25699
149,26441.16812,12.03512535,14501.45703,11.27330705,19408.61081,11.72076051,0.363791812,0.499505791,0.032099247,0.077510645,0.158758805,18667.09483,8855.881207,19408.61081
150,25301.83755,11.01320377,22665.72558,10.06418667,27726.84515,9.820125067,0.488251759,0.598668701,0.073745223,0.181969027,0.183934537,15648.76821,12549.2768,27726.84515
151,28068.72058,11.84381274,15918.66217,11.18311818,47119.21394,11.7880213,0.476589405,0.559388704,0.038217265,0.085043598,0.140762462,17164.9168,8962.683238,47119.21394
152,33587.24249,10.60135939,9150.9243,10.00015415,22545.72196,10.03957253,0.408259988,0.497408981,0.034910282,0.142813786,0.238378549,23360.7527,5848.875113,22545.72196
153,34795.28496,12.04948387,20734.42188,11.84070928,20293.85831,11.82971652,0.495303216,0.509296231,0.026383185,0.103841193,0.124862299,20565.67906,12269.98859,20293.85831
154,30371.69184,12.2846324,14111.44448,11.78996722,35210.85284,11.63216986,0.473349827,0.536685354,0.05437426,0.108144932,0.118445313,18398.69698,8046.285839,35210.85284
155,26419.93515,9.64308826,13122.88109,9.009729626,35618.97268,9.912597672,0.47211561,0.549992631,0.050979369,0.106531968,0.280132487,17522.30085,8127.997152,35618.97268
156,36683.19089,12.23005851,12719.47717,11.84238603,23293.0846,10.78369194,0.447056923,0.500244588,0.080720037,0.149682794,0.127674038,23107.43644,7621.58039,23293.0846
157,30673.43987,9.895607506,30164.4378,9.247910959,16108.98793,10.40082354,0.435874977,0.523905832,0.052785904,0.06343043,0.277656987,21092.24664,19153.60634,16108.98793
158,30592.84963,11.19927947,24481.48273,11.07036706,21450.90999,10.72592507,0.465237895,0.472312021,0.042258771,0.130501154,0.180674821,19412.57103,15599.48544,21450.90999
159,31843.24631,12.14996892,19235.51802,11.45774859,39631.04616,12.17941206,0.451357081,0.548340338,0.020699945,0.075232576,0.130922457,19987.17325,10903.23726,39631.04616
160,24314.43803,10.77074115,15247.42896,10.15183073,22988.38187,10.21714085,0.441952179,0.525375922,0.080977304,0.116025784,0.215139883,16134.05091,9342.70748,22988.38187
